id;code;latitude;longitude;address;district;postal_code;total_volume;trash_type;prediction;bin_type;installed_at;created;last_modify;created_batch_id;updated_batch_id
30031;0003/ 010C00485;50,085211000000000;14,451586000000020;Štítného 629/23;;13000;1500;glass_white;2019-08-10 16:38:00;Schäfer/Europa-OR/GB;2018-12-05 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30032;0003/ 012C00491;50,086089100000000;14,456382200000007;Èeskobratrská 276;;13000;3000;paper;2019-05-15 17:23:03;Schäfer/Europa-OR/GB;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30034;0003/ 012C00493;50,086089100000000;14,456382200000007;Èeskobratrská 276;;13000;1500;plastic;2019-05-15 20:50:49;Schäfer/Europa-OR/GB;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30036;0003/ 012C00495;50,086089100000000;14,456382200000007;Èeskobratrská 276;;13000;1500;glass_coloured;2019-05-28 23:41:49;Schäfer/Europa-OR/GB;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30037;0003/ 012C00496;50,086089100000000;14,456382200000007;Èeskobratrská 276;;13000;1500;glass_white;2021-11-13 03:20:12;Schäfer/Europa-OR/GB;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30038;0003/ 012C00497;50,086089100000000;14,456382200000007;Èeskobratrská 276;;13000;1500;beverage_cartons;2019-05-25 22:18:29;Schäfer/Europa-OR/GB;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30039;0003/ 013C00501;50,086824700000000;14,461461999999983;Jeseniova 1196;;13000;3000;paper;2019-05-17 16:14:06;Schäfer/Europa-OR/GB;2018-12-05 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30040;0003/ 013C00502;50,086824700000000;14,461461999999983;Jeseniova 1196;;13000;1500;plastic;2019-05-16 13:51:13;Schäfer/Europa-OR/GB;2018-12-05 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30041;0003/ 013C00503;50,086824700000000;14,461461999999983;Jeseniova 1196;;13000;1500;glass_coloured;2019-05-20 02:08:27;Schäfer/Europa-OR/GB;2018-12-05 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30042;0003/ 013C00504;50,086824700000000;14,461461999999983;Jeseniova 1196;;13000;1500;glass_white;2019-05-17 21:18:05;Schäfer/Europa-OR/GB;2018-12-05 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30043;0003/ 013C00505;50,086824700000000;14,461461999999983;Jeseniova 1196;;13000;1500;beverage_cartons;2019-05-20 18:44:13;Schäfer/Europa-OR/GB;2018-12-05 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30044;0003/ 014C00511;50,086700000000000;14,462600000000000;nám.Barikád 0;;13000;3000;paper;2019-05-16 04:40:48;Schäfer/Europa-OR/GB;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
